product_id;name;required_initial
1;REPUJADOR  TITANIO BISTURI;0
2;COLA SIRENA FIGURA PASTILLERO;0
3;FLAKE HEXAGON  SIRENA PASTILLERO;0
4;EFECTO AURORA SHELL ORIGINAL;0
5;SWAROSVKI AB TORNASOL  SS03 ;0
6;PASTILLERO NATURALEZA MUERTAS;0
7;TIJERITA FINA PUNTA CURVA;0
8;EFECTO ESPEJO SHROMER 22 COLORES;0
9;GEL 6 EN  1 REFORZAMIENTO;0
10;REMOVEDOR ACRILICO IBD 120ML;0
11;ORGANIZADOR BARBERO;0
12;ACEITE WAHL ORIGINA 118 ML;0
13;ESMALTE SEM PERM TIFFANY 10ML;0
14;CAPA CORTE IMPRESIñN DIGITAL;0
15;WMARK AFEITA INLAMB NG 115;0
16;WMARK AFEITA INLAMB NG 1407;0
17;NAVAJA METALICA DECORADA  BARBERIA;0
18;CUELLERO COLOR RO- VER- AZUL;0
19;JUEGO DE TIJERA BARBERIA KASHO;0
20;JUEGO DE TIJERA BARBERIA  ZD-6;0
21;ACEITE AEROSOL SALON CLIP 5 EN 1 ;0
22;CERA AROMA  POMADE SALON CLIP L;0
23;POLVO TEXTURE 20GRS;0
24;CRA IKT WAX 75GRS;0
25;ESMALTE SUPER WHITE TIFFANY 15;0
26;PINCEL FIFFANY LINER MORADO  11;0
27;DELANTAL CUERO BARBERO SHOP;0
28;AFEITADORA INALM  KEMEI KM-2278;0
29;SHVIN GEL SALON CLIP  500 ML;0
30;AFTERSHAVE COLOGNE SALON CLIP;0
31;AFEITADORA INALM  KEMEI KM-2629;0
32;PESTAñA CRUZADA TIFFANY LASH;0
33;PINZA SEPARADORA 12PCS;0
34;LIMA TIFFANY NAIL  100/180;1
35;PEINE NEGRO TONY&GUY;0
36;COLA SIRENA 10 ML;0
37;PEINE WHAL CORTE NEGRA 166;0
38;TRIMMER INAL T9 BLACK GOLD;0
39;BROCHA REDONDA GRANDE;0
40;CEPILLO CLIPER WHAL BRUSH;0
41;FINIS GEL UV TIFFANY 10ML;13
42;WATERCOLOR TINTA AGUA;0
43;REPUJADOR METAL LANZA;0
44;ESMALTE PLATNIUM TIFFANY;0
45;LIMAS SPONGIE;0
46;SILICONA CABELLO PERFUMADO;0
47;CARRUSEL BALINES;6
48;GAZA DE UñAS TIFFANY 100;0
49;LAMPARA JELLY CANGURO;1
50;PESTAñAS NAGUARAKU;5
51;EFECTO MOOLTGHT POWER;0
52;PESTAñAS POR PELOS COLORES;4
53;PESTAñAS CUADRADO TIFFANY L;0
54;UñAS TIFANY JELLY C;0
55;PEINETAS DE CORONA;0
56;PULSERA DE OJITOS ;0
57;GANCHETAS METALICAS;0
58;OLAPLEX ACONDICIONADOR ;0
59;BAñO DE CREMA OLAPLEX 500G;0
60;UñAS COFIN TIFANY CLEAR;0
61;CRISTAL PASTILLERO 2X2;0
62;RUBBER BASE TIFANY NAIL 10ML;0
63;PINCEL ACRILICO MANGO MADERA;0
64;TIJERA CORTE KASHO JAP;0
65;CALENTADOR CERA;0
66;NAVAJA ACERO INOX SALON CLIUP;1
67;CARRUSEL BALINES MIXTOS;6
68;PUNTEROD 5PCS;0
69;BASE COAT TIFFANY NAIL 10ML;2
70;TOP CUAT TIFFANY NAIL 10ML;0
71;REPUJADOR PARA REMOVER ESMALTE;0
72;FINISH GEL UV TIFFANY NAILS 10ML;0
73;DREMEL INALAMBRICO;1
74;NAIL PRE NIVELADORA TIFFANY;0
75;GEL SPIDER SINGOIAO 18ML;0
76;TOP COAT REFLETIVE GLI TIFFANY;0
77;HILO TINTURADO BLANCO NEGRO;0
78;LAMPARA MINIHUEVITO 6W;0
79;PINCEL LAINES MANGO PLASTICO;0
80;GEL CONSTRUCCION;0
81;PINCEL #30 KALUSKY;0
82;CORTACUTICULAS;12
83;TINTE CABELLO;0
84;POLVO ACRILICO TIFFANY;0
85;CORTACUTICULAS ARCOIRIS;3
86;TIJERA CORTE BARRILITO;0
87;UñAS TIFFANY COFFE;8
88;BROCHA TAQUERA BARBERIA;2
89;ESMALTE CONVENCIONAL;4
90;POLIGEL ACRILICO;6
91;POLVO ESPEJO A;4
92;BASE MAXGLOW 10;2
93;cejas;10
94;GORRO ALUMINIO;8
95;FLORES TINTA RESINA;3
96;PALETA MADERA CURVA GRANDE;5
97;GEL 5 EN 1;7
98;PINZA POLIGEL CRISTAL;9
99;ESMALTE LINER NAIL ART MAXGLOW 8ML UNICA;6
100;ESMALTE MAXGLOW DIAMOND CAT EYE MAXGLOW 10ML (PLATEADO) UNICA;8
101;ESMALTE SEM DREAM CAT EYE 10ML ñNICA;1
103;ESMALTE SEM UNICORN MAGIC 10ML UNILA;5
104;ESMALTE SEMIPERMANENTE SUGAR MAXGLOW 10ML ñNICA;10
105;ESMALTE MAXGLOW MERMAID 10ML UNDEFINED UNICA;1
106;ESMALTE SEMIPERMANENTE MAXGLOW 10ML UNICA;59
107;UñAS COFFIN UNICA X500;1
108;UñAS CURVA CLEAR X500;3
109;PROTEIN BOND MAXGLOW 15ML ñNICA;3
110;RUBBER BASE GEL MAXGLOW 10ML ñNICA;3
111;TINTE CABELLO MAXGLOW CON AGUA OXIGENADA 100ML ñNICA;4
112;ESTERILIZADOR GDE NV-210 ñNICA;1
113;POLVO ACRILICO MAXGLOW POP COLOR 10Z ñNICA;5
114;PEGA PESTANA SALON PRO ñNICA;1
115;PINCEL LINER ESC X3 ñNICA;2
116;REPUJADOR DOBLE FILO ñNICA ñNICA;1
117;CUADERNO BABY SECRET;0
118;CUADERNO INFANTI  100H;0
119;LIGUITA PARA CABELLO GRUESO;0
120;CARTUCHERA DE NIñO;0
121;ACETONA VALMY ORIGINAL;0
122;ESPEJO TIPO MANZANA;0
123;JUGUETE BARBIE 822;0
124;PRESERVATIVO DUO;0
125;FINISH GEL;0
126;TOP COAT M&Y  15ML;0
127;PINTURA UñA NAILEM;0
128;PESTAñA CORRIDO 3D MAG;0
129;ESPONJA PARA BASE;0
130;PINZA DE PELUQUERA X 12 PCS;0
131;SET DE PAPEL COLORES X12;0
132;SWAROVSKI UNICOLOR MY I440;0
133;RIMEL COLOSAL ;0
134;RIMEL FLOMROR;0
135;BRILLO DE FRESA NARANJA;0
136;MARCADOR BLANCO HAVESBEAUTY;0
137;CEPILLO PARA CEJA DORADO;0
138;MONOMERO 60ML EZFLOW;0
139;AGUA OXIGENA KARLLY 120 ML;0
140;LAPIZ CEJA  POR PAQUETE;0
141;LAPIZ CEJA CEPILLO;0
142;POLVO DE HADAS;0
143;POLVO NAHIN CON/ESP;0
144;POLVO MAO;0
145;JABON BLANQUEADOR  INT;0
146;CREMA BLANQUEADOR PIE Y MANO;0
147;RUBOR HIR BLUSH;0
148;PALETA DE SOMBRAS;0
149;ESPEJO DE COCHINITO;0
150;CORRECTOR OJERA;0
151;RUBOR ILUMINADOR G186A;0
152;RUBOR SEVENCOOL;0
153;PINTURA LABIAL LIP STICK;0
154;BASE FLIME;0
155;TINTA DE LABIO BARQUILLA;0
156;TINTA DE LABIO CORAZON LOVE;0
157;COMBO PERFUME MINI 40ML;0
158;PERMUME ONLI YOU;0
159;SOMBRA CEJAS BEAUTY  X3TONOS;0
